AAA1111;MONZA;24/05/2023;11:52;0;5,00
AAA1111;MONZA;24/05/2023;11:52;4;5,00
AAA1111;MONZA;24/05/2023;11:52;5;5,00
AAA1111;MONZA;24/05/2023;11:52;7;5,00
AAA1111;MONZA;24/05/2023;11:52;8;5,00
AAA1111;MONZA;24/05/2023;11:52;14;5,00
AAA1111;MONZA;24/05/2023;11:52;16;5,00
ASW1111;MONZA;24/05/2023;12:34;0;5,00
ASS1111;MONZA;24/05/2023;12:44;0;5,00
ASW1111;MONZA;24/05/2023;12:46;0;5,00
AAA1111;MONZA;24/05/2023;14:03;0;5,00
ASW1234;MONZA;24/05/2023;14:51;0;5,00
AAA1111;MONZA;24/05/2023;15:08;0;5,00
AAA1111;AAAA;24/05/2023;15:16;0;5,00
AAA1111;B;24/05/2023;15:21;0;5,00
AAA1111;AAA;24/05/2023;15:23;2;5,00
AAA1111;SSSS;24/05/2023;15:27;0;5,00
AAA1111;MONZA;24/05/2023;15:35;0;5,00
AAA1111;MONZA;24/05/2023;15:41;0;5,00
WWW1111;111;24/05/2023;15:43;0;5,00
AAA111;AAA;24/05/2023;15:47;1;5,00
AAA111;111;24/05/2023;15:49;0;5,00
AAA.2222;MONZA;24/05/2023;16:04;0;5,00
AAA1111;11111;24/05/2023;16:04;282;25,00
ASW1383;MONSA;24/05/2023;20:45;16;5,00
LLL1111;LLL;24/05/2023;21:08;0;5,00
AAA;AAA;24/05/2023;21:09;0;5,00
AAA1111;MONZA;24/05/2023;21:10;0;5,00
AAA111;MONZA;25/05/2023;14:03;0;5,00
ASW1111;MONZA;25/05/2023;18:14;0;5,00
